,reference
0,kemenko polhukam
1,polhukam
2,kemlu
3,kemlu ri
4,kementerian bumn
5,kemen bumn
6,kemenparekraf
7,kemenparekraf ri
8,kemen pupr
9,kemen pupr ri
10,kemenpora
11,kemenpora ri
12,kemendikbudristek
13,kemdikbud
14,kemendag
15,kemendag ri
16,kemenhub
17,kemenhub ri
18,kemenperin
19,kemenperin ri
20,kemhan
21,departemen pertahanan
22,kementan
23,kementan ri
24,kemensetneg
25,setneg ri
26,bpk
27,badan pemeriksa keuangan
28,dpd
29,anggota dewan perwakilan daerah
30,anggota dpr
31,anggota dewan perwakilan rakyat
32,ky
33,komisi yudisial ky
34,mahkamah agung
35,ma
36,mahkamah konstitusi
37,mk
38,mpr
39,majelis permusyawaratan rakyat
40,badan informasi geospasial
41,big
42,kanreg vi bkn medan
43,kantor regional xiv bkn manokwari
44,bin
45,badan intelijen negara
46,badan keamanan laut
47,bakamla
48,bkkbn
49,bkkbn provinsi sulawesi utara
50,kementerian investasi bkpm
51,kementerian investasi
52,badan meteorologi klimatologi dan geofisika
53,bmkg papua
54,bnn kota bengkulu
55,badan narkotika nasional provinsi jawa barat
56,bnpb provinsi jawa barat
57,badan nasional penanggulangan bencana provinsi jawa barat
58,bp2mi
59,bp2mi jawa barat
60,bpom kabupaten bogor
61,badan pom
62,bpkp
63,perwakilan bpkp provinsi sulawesi barat
64,bppt
65,perwakilan bppt
66,bssn
67,badan siber dan sandi negara
68,badan standardisasi nasional
69,bsn
70,badan tenaga nuklir nasional
71,batan
72,dewan ketahanan nasional
73,wantannas
74,kejaksaan negeri kota kediri
75,kejaksaaan tinggi provinsi jawa tengah
76,kepolisian negara republik indonesia resor kota pontianak
77,kepolisian daerah provinsi di yogyakarta
78,kpu kabupaten memberamo raya
79,komisi pemilihan umum kabupaten fakfak
80,komisi pengawas persaingan usaha ri
81,kppu ri
82,lembaga ilmu pengetahuan indonesia
83,perwakilan lembaga ilmu pengetahuan indonesia
84,lembaga kebijakan pengadaan barang jasa pemerintah
85,lkpp ri
86,lembaga ketahanan nasional
87,lemhannas ri
88,lembaga penerbangan dan antariksa nasional
89,lapan
90,ombudsman republik indonesia
91,ombudsman ri
92,pusat pelaporan dan analisis transaksi keuangan
93,ppatk
94,sekretariat kabinet republik indonesia
95,setkab
96,anri
97,arsip nasional ri
98,tni angkatan udara
99,inspektorat jenderal tni
100,kasn ri
101,komisi aparatur sipil negara ri
102,bnsp republik indonesia
103,badan nasional sertifikasi profesi republik indonesia
104,badan pengatur hilir minyak dan gas bumi
105,bph migas
106,dewan pertimbangan presiden republik indonesia
107,wantimpres ri
108,lembaga pembiayaan ekspor
109,lpei
110,indonesia eximbank
111,kantor staf presiden
112,badan penyelenggara jaminan sosial kesehatan
113,bpjs kesehatan
114,badan penyelenggara jaminan sosial ketenagakerjaan
115,bpjamsostek
116,bpjs ketenagakerjaan
117,bank indonesia bi
118,bi
119,bnpp
120,badan pembinaan ideologi
121,bpip
122,radio republik indonesia
123,rri
124,djsn
125,dewan jaminan sosial
126,pemkab kepulauan seribu
127,pemerintah kab kepulauan seribu
128,pemkot jakarta barat
129,pemerintah kota adminsitrasi jakarta barat
130,pemkot jakarta pusat
131,pemerintah kota administrasi jakarta pusat
132,pemkot jakarta timur
133,pemerintah kota administrasi jakarta timur
134,pemkot jakarta utara
135,pemerintah kota administrasi jakarta utara
136,pemprov dki jakarta
137,pemerintah provinsi daerah khusus ibukota jakarta
138,pemkab boalemo
139,pemerintah boalemo
140,pemkab bone bolango
141,pemerintah bone bolango
142,pemkab gorontalo utara
143,pemerintah gorontalo utara
144,pemkot kota gorontalo
145,pemprov gorontalo
146,pemkab bungo
147,pemerintah bungo
148,pemkab kerinci
149,pemerintah kerinci
150,pemkab tanjung jabung timur
151,pemerintah tanjung jabung timur
152,pemkab tebo
153,pemerintah tebo
154,pemkab bandung barat
155,pemerintah bandung barat
156,pemkab bekasi
157,pemerintah bekasi
158,pemkab ciamis
159,pemerintah ciamis
160,pemkab cirebon
161,pemerintah cirebon
162,pemkab indramayu
163,pemerintah indramayu
164,pemkab karawang
165,pemerintah karawang
166,pemkab kuningan
167,pemerintah kuningan
168,pemkab pangandaran
169,pemerintah pangandaran
170,pemkab subang
171,pemerintah subang
172,pemkab sukabumi
173,pemerintah sukabumi
174,pemkab sumedang
175,pemerintah sumedang
176,pemkot bandung
177,pemkot banjar
178,pemkot bekasi
179,pemkot cimahi
180,pemerintah cimahi
181,pemkot depok
182,pemerintah depok
183,pemkot sukabumi
184,pemkot tasikmalaya
185,pemprov jawa barat
186,pemerintah jawa barat
187,pemprov jabar
188,pemkab banjarnegara
189,pemerintah banjarnegara
190,pemkab banyumas
191,pemerintah banyumas
192,pemkab batang
193,pemerintah batang
194,pemkab blora
195,pemerintah blora
196,pemkab boyolali
197,pemerintah boyolali
198,pemkab brebes
199,pemerintah brebes
200,pemkab cilacap
201,pemerintah cilacap
202,pemkab demak
203,pemerintah demak
204,pemkab grobogan
205,pemerintah grobogan
206,pemkab jepara
207,pemerintah jepara
208,pemkab karanganyar
209,pemerintah karanganyar
210,pemkab kebumen
211,pemerintah kebumen
212,pemkab kendal
213,pemerintah kendal
214,pemkab klaten
215,pemerintah klaten
216,pemkab pekalongan
217,pemerintah pekalongan
218,pemkab pemalang
219,pemerintah pemalang
220,pemkab purbalingga
221,pemerintah purbalingga
222,pemkab purworejo
223,pemerintah purworejo
224,pemkab rembang
225,pemerintah rembang
226,pemkab semarang
227,pemerintah semarang
228,pemkab sukoharjo
229,pemerintah sukoharjo
230,pemkab tegal
231,pemerintah tegal
232,pemkab wonogiri
233,pemerintah wonogiri
234,pemkab wonosobo
235,pemerintah wonosobo
236,pemkot salatiga
237,pemerintah salatiga
238,pemprov jawa tengah
239,pemerintah jawa tengah
240,pemprov jateng
241,pemkab bangkalan
242,pemerintah bangkalan
243,pemkab blitar
244,pemerintah blitar
245,pemkab bojonegoro
246,pemerintah bojonegoro
247,pemkab bondowoso
248,pemerintah bondowoso
249,pemkab jember
250,pemerintah jember
251,pemkab jombang
252,pemerintah jombang
253,pemkab kediri
254,pemerintah kediri
255,pemkab lamongan
256,pemerintah lamongan
257,pemkab lumajang
258,pemerintah lumajang
259,pemkab magetan
260,pemerintah magetan
261,pemkab mojokerto
262,pemerintah mojokerto
263,pemkab ngawi
264,pemerintah ngawi
265,pemkab pacitan
266,pemerintah pacitan
267,pemkab pamekasan
268,pemerintah pamekasan
269,pemkab pasuruan
270,pemerintah pasuruan
271,pemkab ponorogo
272,pemerintah ponorogo
273,pemkab probolinggo
274,pemerintah probolinggo
275,pemkab sidoarjo
276,pemerintah sidoarjo
277,pemkab sumenep
278,pemerintah sumenep
279,pemkab trenggalek
280,pemerintah trenggalek
281,pemkab tuban
282,pemerintah tuban
283,pemkab tulungagung
284,pemerintah tulungagung
285,pemkot batu
286,pemerintah batu
287,pemkot blitar
288,pemkot kediri
289,pemkot madiun
290,pemkot malang
291,pemkot pasuruan
292,pemprov jawa timur
293,pemerintah jawa timur
294,pemprov jatim
295,pemkab bengkayang
296,pemerintah bengkayang
297,pemkab kapuas hulu
298,pemerintah kapuas hulu
299,pemkab kayong utara
300,pemerintah kayong utara
301,pemkab ketapang
302,pemerintah ketapang
303,pemkab kubu raya
304,pemerintah kubu raya
305,pemkab landak
306,pemerintah landak
307,pemkab mempawah
308,pemerintah mempawah
309,pemkab sambas
310,pemerintah sambas
311,pemkab sanggau
312,pemerintah sanggau
313,pemkab sekadau
314,pemerintah sekadau
315,pemkot pontianak
316,pemerintah pontianak
317,pemkot singkawang
318,pemerintah singkawang
319,pemprov kalimantan barat
320,pemerintah kalimantan barat
321,pemprov kalbar
322,pemkab balangan
323,pemerintah balangan
324,pemkab hulu sungai selatan
325,pemerintah hulu sungai selatan
326,pemkab hulu sungai tengah
327,pemerintah hulu sungai tengah
328,pemkab hulu sungai utara
329,pemerintah hulu sungai utara
330,pemkab tabalong
331,pemerintah tabalong
332,pemkab aceh barat
333,pemkab aceh barat daya
334,pemkab aceh jaya
335,pemkab aceh selatan
336,pemkab aceh tengah
337,pemkab alor
338,pemkab asmat
339,pemkab barito selatan
340,pemkab barito utara
341,pemkab belu
342,pemkab biak numfor
343,pemkab bima
344,pemkab bintan
345,pemkab bireuen
346,pemkab boven digul
347,pemerintah kabupaten boven digul
348,pemkab boven digoel
349,pemkab bulungan
350,pemkab buru
351,pemkab buru selatan
352,pemkab deiyai
353,pemkab dogiyai
354,pemkab dompu
355,pemkab ende
356,pemkab fak fak
357,pemerintah kabupaten fakfak
358,pemkab fakfak
359,pemkab gayo lues
360,pemkab gunung mas
361,pemkab halmahera selatan
362,pemkab halmahera tengah
363,pemkab halmahera utara
364,pemkab intan jaya
365,pemkab kapuas
366,pemkab keerom
367,pemkab kepulauan aru
368,pemkab aru
369,pemerintah kabupaten aru
370,pemerintah kabupaten sula
371,pemkab kepulauan sula
372,pemkab sula
373,pemkab yapen
374,pemerintah kabupaten yapen
375,pemkab kepulauan yapen
376,pemkab kotawaringin barat
377,pemkab kotawaringin timur
378,pemkab kupang
379,pemkab kutai barat
380,pemkab kutai kartanegara
381,pemkab kutai timur
382,pemkab lamandau
383,pemkab lampung barat
384,pemkab lampung selatan
385,pemkab lampung utara
386,pemkab lanny jaya
387,pemkab lombok tengah
388,pemkab lombok timur
389,pemkab mahakam ulu
390,pemkab malinau
391,pemkab maluku barat daya
392,pemkab maluku tengah
393,pemkab mamberamo raya
394,pemkab mamberamo tengah
395,pemkab manggarai
396,pemkab manggarai barat
397,pemkab manggarai timur
398,pemkab manokwari
399,pemkab manokwari selatan
400,pemkab mappi
401,pemkab mesuji
402,pemkab mimika
403,pemkab murung raya
404,pemkab nabire
405,pemkab nagekeo
406,pemkab natuna
407,pemkab nduga
408,pemkab nunukan
409,pemkab paniai
410,pemkab pegunungan bintang
411,pemkab penajam paser utara
412,pemerintah kabupaten penajam paser
413,pemkab penajam paser
414,pemkab ppu
415,pemerintah kabupaten ppu
416,pemkab pesawaran
417,pemkab pesisir barat
418,pemkab pidie
419,pemkab pulang pisau
420,pemkab pulau morotai
421,pemkab morotai
422,pemerintah kabupaten morotai
423,pemkab puncak
424,pemkab puncak jaya
425,pemkab rote ndao
426,pemkab sabu raijua
427,pemerintah kabupaten saburaijua
428,pemkab saburaijua
429,pemkab seram bagian barat
430,pemkab seram barat
431,pemerintah kabupaten seram barat
432,pemkab seram bagian timur
433,pemkab seram timur
434,pemerintah kabupaten seram timur
435,pemkab seruyan
436,pemkab simeulue
437,pemkab sukamara
438,pemkab sumba tengah
